1C 1
1A 1
1B 1
1E 1
2E 2
3E 3
4E 4
5E 5
6E 6
7E 7
1D 1
2A 2
8E 8
9E 9
2B 2
2D 2
3D 3
10E 10
2C 2
1F 1
1H 1
1G 1
1J 1
2J 2
3J 3
2H 2
3H 3
3B 3
4B 4
4D 4
5D 5
6D 6
7D 7
8D 8
9D 9
10D 10
2F 2
11D 11
11E 11
3C 3
3A 3
1I 1
4H 4
4C 4
5B 5
2I 2
4J 4
12E 12
3F 3
12D 12
4A 4
5A 5
6A 6
7A 7
8A 8
9A 9
10A 10
11A 11
12A 12
13A 13
14A 14
15A 15
5J 5
13E 13
16A 16
14E 14
13D 13
6J 6
7J 7
8J 8
9J 9
10J 10
14D 14
17A 17
15D 15
16D 16
18A 18
19A 19
3I 3
4F 4
5F 5
17D 17
18D 18
4I 4
2G 2
15E 15
11J 11
20A 20
6B 6
7B 7
5I 5
5H 5
6F 6
7F 7
8B 8
9B 9
10B 10
11B 11
12B 12
13B 13
5C 5
8F 8
21A 21
6H 6
12J 12
6I 6
19D 19
7H 7
8H 8
9H 9
10H 10
11H 11
9F 9
13J 13
16E 16
3G 3
20D 20
7I 7
12H 12
13H 13
22A 22
6C 6
7C 7
8C 8
9C 9
10C 10
11C 11
17E 17
18E 18
19E 19
20E 20
21E 21
22E 22
23E 23
24E 24
25E 25
26E 26
27E 27
14J 14
15J 15
14H 14
21D 21
14B 14
28E 28
29E 29
22D 22
30E 30
31E 31
15H 15
8I 8
4G 4
23A 23
24A 24
10F 10
5G 5
11F 11
9I 9
25A 25
26A 26
27A 27
28A 28
29A 29
30A 30
6G 6
7G 7
8G 8
16H 16
32E 32
16J 16
12F 12
12C 12
15B 15
9G 9
10G 10
11G 11
12G 12
13G 13
14G 14
15G 15
16G 16
17G 17
18G 18
19G 19
20G 20
21G 21
22G 22
33E 33
10I 10
23D 23
31A 31
17H 17
18H 18
19H 19
20H 20
21H 21
16B 16
11I 11
12I 12
13I 13
14I 14
22H 22
23H 23
24H 24
23G 23
15I 15
24G 24
13C 13
13F 13
14F 14
24D 24
25D 25
15F 15
